COMMAND    PID           USER   FD   TYPE             DEVICE SIZE/OFF   NODE NAME
launchd      1           root   18u  IPv4 0xe3cb4a4b9973283f      0t0    UDP *:netbios-dgm
launchd      1           root   28u  IPv4 0xe3cb4a4b997325d7      0t0    UDP *:netbios-ns
UserEvent   45           root    4u  IPv4 0xe3cb4a4b9a9e104f      0t0    UDP *:*
UserEvent   45           root    9u  IPv4 0xe3cb4a4b9bcd75d7      0t0    UDP *:*
configd     54           root    8u  IPv6 0xe3cb4a4b9a97af77      0t0 ICMPV6 *:*
configd     54           root    9u  IPv4 0xe3cb4a4b99731e9f      0t0    UDP *:*
configd     54           root   11u  IPv4 0xe3cb4a4b9a96e36f      0t0    UDP *:*
airportd    60           root   10u  IPv6 0xe3cb4a4b99734ebf      0t0    UDP *:*
airportd    60           root   11u  IPv4 0xe3cb4a4b9a9702b7      0t0    UDP *:*
airportd    60           root   20u  IPv4 0xe3cb4a4b997301bf      0t0    UDP *:*
airportd    60           root   23u  IPv4 0xe3cb4a4b9a9a61bf      0t0    UDP *:*
airportd    60           root   24u  IPv4 0xe3cb4a4b9a9a883f      0t0    UDP *:*
airportd    60           root   25u  IPv4 0xe3cb4a4b9a9a91df      0t0    UDP *:*
airportd    60           root   28u  IPv4 0xe3cb4a4b9a9a96af      0t0    UDP *:*
airportd    60           root   30u  IPv4 0xe3cb4a4b9a9aa2b7      0t0    UDP *:*
airportd    60           root   32u  IPv4 0xe3cb4a4b9a9a668f      0t0    UDP *:*
apsd        77           root    4u  IPv4 0xe3cb4a4b9b980507      0t0    TCP 10.150.51.180:49154->17.110.225.205:5223 (ESTABLISHED)
apsd        77           root    9u  IPv4 0xe3cb4a4b9b980507      0t0    TCP 10.150.51.180:49154->17.110.225.205:5223 (ESTABLISHED)
apsd        77           root   19u  IPv4 0xe3cb4a4ba22709ef      0t0    TCP 10.150.51.180:53381->17.110.227.101:5223 (ESTABLISHED)
apsd        77           root   20u  IPv4 0xe3cb4a4ba22709ef      0t0    TCP 10.150.51.180:53381->17.110.227.101:5223 (ESTABLISHED)
locationd   82     _locationd    4u  IPv4 0xe3cb4a4b9a9a68f7      0t0    UDP *:*
blued       85           root    4u  IPv4 0xe3cb4a4b9b979de7      0t0    UDP *:*
mDNSRespo   90 _mdnsresponder    8u  IPv4 0xe3cb4a4b99732aa7      0t0    UDP *:mdns
mDNSRespo   90 _mdnsresponder    9u  IPv6 0xe3cb4a4b99732f77      0t0    UDP *:mdns
mDNSRespo   90 _mdnsresponder   21u  IPv4 0xe3cb4a4b9a9a702f      0t0    UDP *:54087
mDNSRespo   90 _mdnsresponder   22u  IPv6 0xe3cb4a4b9a9aaebf      0t0    UDP *:54087
mDNSRespo   90 _mdnsresponder   37u  IPv4 0xe3cb4a4b9973404f      0t0    UDP *:51785
mDNSRespo   90 _mdnsresponder   38u  IPv6 0xe3cb4a4b99731767      0t0    UDP *:51785
mDNSRespo   90 _mdnsresponder   39u  IPv4 0xe3cb4a4b9973451f      0t0    UDP *:59372
mDNSRespo   90 _mdnsresponder   40u  IPv6 0xe3cb4a4b997314ff      0t0    UDP *:59372
AirPlayXP   98           root    4u  IPv4 0xe3cb4a4b9973068f      0t0    UDP *:*
AirPlayXP   98           root    8u  IPv4 0xe3cb4a4b9a9a79cf      0t0    UDP *:*
